item_id,order_id,product_id,category,quantity,unit_price,discount_pct,sale_price,line_total,cost_price,profit
ITEM0000001,ORD000001,PROD0039,Grocery,1,259.0,5,246.0,246.0,150.0,96.0
ITEM0000002,ORD000002,PROD0033,Grocery,1,306.0,0,306.0,306.0,182.0,124.0
ITEM0000003,ORD000003,PROD0090,Beauty,2,1655.0,0,1655.0,3310.0,974.0,1362.0
ITEM0000004,ORD000003,PROD0077,Books,2,217.0,5,206.0,412.0,126.0,160.0
ITEM0000005,ORD000004,PROD0082,Books,3,770.0,0,770.0,2310.0,488.0,846.0
ITEM0000006,ORD000004,PROD0074,Books,1,524.0,5,498.0,498.0,268.0,230.0
ITEM0000007,ORD000005,PROD0009,Electronics,1,17154.0,0,17154.0,17154.0,11328.0,5826.0
ITEM0000008,ORD000005,PROD0110,Toys,1,4452.0,0,4452.0,4452.0,2709.0,1743.0
ITEM0000009,ORD000006,PROD0062,Sports,3,4391.0,0,4391.0,13173.0,2366.0,6075.0
ITEM0000010,ORD000006,PROD0082,Books,2,770.0,0,770.0,1540.0,488.0,564.0
ITEM0000011,ORD000007,PROD0113,Toys,1,2728.0,5,2592.0,2592.0,1896.0,696.0
ITEM0000012,ORD000007,PROD0019,Clothing,1,407.0,10,366.0,366.0,218.0,148.0
ITEM0000013,ORD000007,PROD0024,Clothing,1,4656.0,0,4656.0,4656.0,3067.0,1589.0
ITEM0000014,ORD000008,PROD0030,Clothing,3,4460.0,0,4460.0,13380.0,2408.0,6156.0
ITEM0000015,ORD000009,PROD0088,Books,2,516.0,0,516.0,1032.0,342.0,348.0
ITEM0000016,ORD000010,PROD0020,Clothing,2,4949.0,10,4454.0,8908.0,2497.0,3914.0
ITEM0000017,ORD000010,PROD0069,Sports,1,2455.0,0,2455.0,2455.0,1471.0,984.0
ITEM0000018,ORD000010,PROD0002,Electronics,2,37380.0,0,37380.0,74760.0,19001.0,36758.0
ITEM0000019,ORD000010,PROD0041,Grocery,2,379.0,10,341.0,682.0,239.0,204.0
ITEM0000020,ORD000011,PROD0050,Home & Kitchen,1,2046.0,5,1944.0,1944.0,1304.0,640.0
ITEM0000021,ORD000011,PROD0038,Grocery,1,583.0,20,466.0,466.0,405.0,61.0
ITEM0000022,ORD000011,PROD0012,Electronics,2,28199.0,0,28199.0,56398.0,15170.0,26058.0
ITEM0000023,ORD000012,PROD0085,Books,2,714.0,0,714.0,1428.0,374.0,680.0
ITEM0000024,ORD000012,PROD0072,Sports,1,2691.0,0,2691.0,2691.0,1673.0,1018.0
ITEM0000025,ORD000012,PROD0009,Electronics,3,17154.0,5,16296.0,48888.0,11328.0,14904.0
ITEM0000026,ORD000012,PROD0086,Books,2,501.0,0,501.0,1002.0,329.0,344.0
ITEM0000027,ORD000013,PROD0030,Clothing,3,4460.0,10,4014.0,12042.0,2408.0,4818.0
ITEM0000028,ORD000013,PROD0028,Clothing,1,1356.0,0,1356.0,1356.0,709.0,647.0
ITEM0000029,ORD000013,PROD0106,Toys,3,1308.0,0,1308.0,3924.0,642.0,1998.0
ITEM0000030,ORD000013,PROD0090,Beauty,2,1655.0,0,1655.0,3310.0,974.0,1362.0
ITEM0000031,ORD000014,PROD0017,Clothing,1,1679.0,0,1679.0,1679.0,1141.0,538.0
ITEM0000032,ORD000014,PROD0080,Books,3,441.0,5,419.0,1257.0,261.0,474.0
ITEM0000033,ORD000014,PROD0020,Clothing,2,4949.0,10,4454.0,8908.0,2497.0,3914.0
